,mae,mse,rmse,mape,mspe,exp_name,model_name,pred_len,lookback_len,pwindow,pconstructor,dataset
0,0.025951484,0.001256006,0.035440173,0.6210859,1.825515,long_term_forecast_96_96Weather_w501_prandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,501,prandomwalk.csv,Weather
0,0.026180413,0.001262114,0.035526246,0.5945781,1.492734,long_term_forecast_96_96Weather_w501_ipsmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,501,ipsmoothrandomwalk.csv,Weather
0,0.026184982,0.0012668977,0.035593506,0.6179289,1.8142219,long_term_forecast_ETTh1_96_96Weather_w1251_ipmutual_info.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1251,ipmutual_info.csv,Weather
0,0.025878921,0.0012673794,0.03560027,0.60282815,1.6221268,long_term_forecast_96_96Weather_w1251_ipsmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1251,ipsmoothrandomwalk.csv,Weather
0,0.026060913,0.0012695582,0.03563086,0.6161137,1.8146236,long_term_forecast_96_96Weather_w1501_ipsmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1501,ipsmoothrandomwalk.csv,Weather
0,0.02603433,0.0012705417,0.035644658,0.6021151,1.5637907,long_term_forecast_96_96Weather_w751_ipsmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,751,ipsmoothrandomwalk.csv,Weather
0,0.026344968,0.0012774419,0.035741318,0.6298635,1.9623739,long_term_forecast_96_96Weather_w1501_iprollcorr.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1501,iprollcorr.csv,Weather
0,0.026254013,0.0012796551,0.035772268,0.5917627,1.4190692,long_term_forecast_96_96Weather_w1001_ipsmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,ipsmoothrandomwalk.csv,Weather
0,0.026596002,0.0012903835,0.03592191,0.62998235,1.9330353,long_term_forecast_96_96Weather_w1251_iprollcorr.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1251,iprollcorr.csv,Weather
0,0.026507685,0.0012972704,0.03601764,0.639845,2.016285,long_term_forecast_96_96Weather_w1251_prollcov.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1251,prollcov.csv,Weather
0,0.026555568,0.0012973044,0.03601811,0.63521534,1.8958879,long_term_forecast_96_96Weather_w501_ipmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,ipmutual_info.csv,Weather
0,0.026378617,0.0012985093,0.036034834,0.6290597,1.8677101,long_term_forecast_96_96Weather_w1251_psmoothrandomwalk.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1251,psmoothrandomwalk.csv,Weather
