dataset,model_name,pred_len,improvement,pconstructor,pwindow,mse,mse_identity
ECL,Autoformer,96,12.513328219339106,ipfarm.csv,501,0.32437736,0.37077346
ECL,TimeXer,96,1.0806298398542313,ipfarm.csv,501,0.26591513,0.26882008
ECL,iTransformer,96,2.0873905340492853,pmutual_info.csv,1501,0.2729548,0.2787739
ETTh1,Autoformer,96,30.653632378490347,pmutual_info.csv,501,0.08070049,0.11637306
ETTh1,Crossformer,96,54.48152547159033,pmutual_info.csv,1001,0.16893144,0.3711272
ETTh1,TimeXer,96,2.3828668771389188,pmutual_info.csv,751,0.055289656,0.056639295
ETTh1,iTransformer,96,2.8120700088196995,pmutual_info.csv,751,0.05703763,0.058687977
ETTh2,Autoformer,96,25.06398647507646,iprollcov.csv,1251,0.14741507,0.19672126
ETTh2,Crossformer,96,66.49178359342854,prandomwalk.csv,501,0.17825644,0.5319783
ETTh2,PatchTST,96,0.3699137953225758,pmutual_info.csv,1501,0.135849,0.13635339
ETTh2,TimeXer,96,8.88355982693592,prollcov.csv,501,0.13148762,0.14430724
ETTh2,iTransformer,96,3.7330135902946404,prollcorr.csv,1251,0.13199979,0.13711844
ETTm1,Autoformer,96,6.675319710648943,ipfarm.csv,1251,0.05467945,0.058590557
ETTm1,Crossformer,96,31.776340326779412,prollcov.csv,1501,0.05432766,0.0796317
ETTm1,PatchTST,96,0.6180969944512985,pmutual_info.csv,501,0.029223824,0.029405579
ETTm1,TimeXer,96,0.8090436809822312,iprollcorr.csv,751,0.028265199,0.028495742
ETTm2,Autoformer,96,8.066759331346887,iprollcov.csv,751,0.11276945,0.1226645
ETTm2,Crossformer,96,56.0209425402727,iprollcorr.csv,501,0.097761944,0.22229204
ETTm2,PatchTST,96,1.0632205587902153,prollcorr.csv,1001,0.063732125,0.06441702
ETTm2,TimeXer,96,2.5469612053965958,pentropy.csv,1251,0.06609039,0.06781768
ETTm2,iTransformer,96,10.07635541076151,iprollcov.csv,751,0.06817696,0.0758165
TrafficL,Autoformer,96,6.73451830057745,pfarm.csv,751,0.23485291,0.25181118
TrafficL,TimeXer,96,2.6616551084587616,iprollcorr.csv,501,0.16395408,0.1684373
TrafficL,iTransformer,96,5.5819579648182005,iprollcorr.csv,501,0.14766572,0.15639566
Weather,Autoformer,96,34.942646644004434,prollcorr.csv,1001,0.005191636,0.007980091
Weather,Crossformer,96,76.64050135934976,iprollcov.csv,1501,0.0014183077,0.006071653
Weather,PatchTST,96,20.05625917243608,iprollcorr.csv,1501,0.0012774419,0.0015979261
Weather,TimeXer,96,2.78232840067544,ipmutual_info.csv,501,0.0012973044,0.0013344327
Weather,iTransformer,96,9.919953215974983,prandomwalk.csv,501,0.001256006,0.0013943221
