,,pconstructor,pconstructor,pconstructor,pconstructor,pconstructor,pwindow,pwindow,pwindow,pwindow,pwindow
model_name,,Autoformer,Crossformer,PatchTST,TimeXer,iTransformer,Autoformer,Crossformer,PatchTST,TimeXer,iTransformer
dataset,pred_len,,,,,,,,,,
ECL,96,ipfarm,,ipsmoothrandomwalk,ipfarm,pmutual_info,501,,501,501,1501
ECL,192,ipfarm,,,ipfarm,prollcorr,501,,,501,1251
ECL,336,ipfarm,,,ipfarm,pmutual_info,501,,,501,1501
ECL,720,ipfarm,,,ipfarm,pmutual_info,501,,,501,1501
ETTh1,96,pmutual_info,pmutual_info,ipsmoothrandomwalk,pmutual_info,pmutual_info,501,1001,751,751,751
ETTh1,192,pmutual_info,pmutual_info,pfarm,pmutual_info,pmutual_info,501,1001,1001,751,1251
ETTh1,336,pmutual_info,pmutual_info,pfarm,pmutual_info,pmutual_info,501,1001,1001,751,1251
ETTh1,720,pmutual_info,pmutual_info,pfarm,pmutual_info,pmutual_info,501,1001,1001,751,1251
ETTh2,96,iprollcov,prandomwalk,pmutual_info,prollcov,prollcorr,1251,501,1501,501,1251
ETTh2,192,iprollcov,prollcov,pmutual_info,prollcov,prollcorr,1251,501,1501,501,1501
ETTh2,336,iprollcov,prollcov,pmutual_info,prollcov,prollcorr,1251,501,1501,501,1501
ETTh2,720,iprollcov,prollcov,pmutual_info,prollcov,prollcorr,1251,501,1501,501,1501
ETTm1,96,ipfarm,prollcov,pmutual_info,iprollcorr,ipsmoothrandomwalk,1251,1501,501,751,751
ETTm1,192,ipfarm,prollcov,pmutual_info,iprollcorr,ipentropy,1251,1501,501,751,1251
ETTm1,336,ipfarm,prollcov,pmutual_info,iprollcorr,ipmutual_info,1251,1501,501,751,1501
ETTm1,720,ipfarm,prollcov,pmutual_info,iprollcorr,ipmutual_info,1251,1501,501,751,1501
ETTm2,96,iprollcov,iprollcorr,prollcorr,pentropy,iprollcov,751,501,1001,1251,751
ETTm2,192,iprollcov,iprollcorr,prollcorr,pentropy,iprollcorr,751,501,1001,1251,1501
ETTm2,336,iprollcov,iprollcorr,prollcorr,pentropy,iprollcorr,751,501,1001,1251,1501
ETTm2,720,iprollcov,iprollcorr,prollcorr,pentropy,iprollcorr,751,501,1001,1251,1501
TrafficL,96,pfarm,,,iprollcorr,iprollcorr,751,,,501,501
TrafficL,192,,,,,iprollcorr,,,,,501
Weather,96,prollcorr,iprollcov,iprollcorr,ipmutual_info,prandomwalk,1001,1501,1501,501,501
Weather,192,prollcorr,iprollcov,iprollcorr,ipmutual_info,prollcorr,1001,1501,1501,501,1001
Weather,336,prollcorr,iprollcov,iprollcorr,ipmutual_info,ipmutual_info,1001,1501,1501,501,1251
Weather,720,prollcorr,iprollcov,iprollcorr,ipmutual_info,ipmutual_info,1001,1501,1501,501,1251
