model_name,dataset,pred_len,improvement,pconstructor,pwindow,mse,mse_identity
TimeXer,ECL,96,1.0806298398542313,ipfarm.csv,501,0.26591513,0.26882008
iTransformer,ECL,96,2.0873905340492853,pmutual_info.csv,1501,0.2729548,0.2787739
iTransformer,ECL,192,1.3628036658911755,prollcorr.csv,1251,0.31234425,0.3166597
PatchTST,ECL,96,0.0,pentropy.csv,1251,0.31285042,0.31285042
TimeXer,ECL,192,-0.7220515426547581,ipfarm.csv,501,0.3160145,0.31374907
Autoformer,ECL,96,12.513328219339106,ipfarm.csv,501,0.32437736,0.37077346
iTransformer,ECL,336,3.89309450894387,pmutual_info.csv,1501,0.3608486,0.37546584
TimeXer,ECL,336,1.9227997056379176,ipfarm.csv,501,0.36277246,0.3698846
TimeXer,ECL,720,-3.764424173136416,ipfarm.csv,501,0.3776729,0.36397147
Autoformer,ECL,336,10.115336040071865,ipfarm.csv,501,0.40694976,0.4527466
iTransformer,ECL,720,5.687912373788958,pmutual_info.csv,1501,0.43213874,0.4582008
Autoformer,ECL,192,3.1543679541940866,ipfarm.csv,501,0.45654503,0.4714152
Autoformer,ECL,720,-15.125149385713138,ipfarm.csv,501,0.51745766,0.44947404
TimeXer,ETTh1,96,2.3828668771389188,pmutual_info.csv,751,0.055289656,0.056639295
PatchTST,ETTh1,96,0.059968507066011735,pfarm.csv,1001,0.05673742,0.056771465
iTransformer,ETTh1,96,2.8120700088196995,pmutual_info.csv,751,0.05703763,0.058687977
iTransformer,ETTh1,192,3.015708103504099,pmutual_info.csv,1251,0.0703008,0.07248679
PatchTST,ETTh1,192,-0.04381828388417666,pfarm.csv,1001,0.07447643,0.07444381
TimeXer,ETTh1,192,-6.3929535019120145,pmutual_info.csv,751,0.07801075,0.07332323
iTransformer,ETTh1,336,5.14719828854824,pmutual_info.csv,1251,0.07976395,0.08409235
Autoformer,ETTh1,96,30.653632378490347,pmutual_info.csv,501,0.08070049,0.11637306
TimeXer,ETTh1,336,-0.5015646009889891,pmutual_info.csv,751,0.0858271,0.08539877
Autoformer,ETTh1,192,6.832790194320595,pmutual_info.csv,501,0.08666221,0.09301793
TimeXer,ETTh1,720,7.639844499903002,pmutual_info.csv,751,0.08716655,0.09437679
PatchTST,ETTh1,336,0.10549319211953091,pfarm.csv,1001,0.08836263,0.088455945
