,mae,mse,rmse,mape,mspe,exp_name,model_name,pred_len,lookback_len,pwindow,pconstructor,dataset
0,0.06266704,0.005647478,0.07514971,0.91676855,0.8795059,long_term_forecast_96_96Weather.csv_DLinear_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,96,96,,identity,Weather
0,0.06583204,0.0061156624,0.0782027,0.96244663,0.95139277,long_term_forecast_192_96Weather.csv_DLinear_Weather_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,192,96,,identity,Weather
0,0.06802261,0.0064406577,0.080253705,0.99642056,1.0100409,long_term_forecast_336_96Weather.csv_DLinear_Weather_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,336,96,,identity,Weather
0,0.06990903,0.0067491597,0.08215327,1.0122888,1.0366174,long_term_forecast_720_96Weather.csv_DLinear_Weather_ftMS_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,720,96,,identity,Weather
0,0.13945322,0.035375122,0.18808275,0.10929162,0.024121284,long_term_forecast_96_96ETTm1.csv_DLinear_ETTm1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,96,96,,identity,ETTm1
0,0.17494264,0.055288892,0.2351359,0.13499294,0.034296677,long_term_forecast_192_96ETTm1.csv_DLinear_ETTm1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,192,96,,identity,ETTm1
0,0.18799807,0.06446831,0.2539061,0.14103374,0.034406375,long_term_forecast_96_96ETTh1.csv_DLinear_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,96,96,,identity,ETTh1
0,0.1952479,0.07202471,0.2683742,0.46084893,9.006098,long_term_forecast_96_96ETTm2.csv_DLinear_ETTm2_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,96,96,,identity,ETTm2
0,0.20171633,0.07368465,0.27144915,0.15346757,0.042243704,long_term_forecast_336_96ETTm1.csv_DLinear_ETTm1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,336,96,,identity,ETTm1
0,0.2221731,0.088379025,0.2972861,0.16137806,0.042288054,long_term_forecast_192_96ETTh1.csv_DLinear_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,192,96,,identity,ETTh1
0,0.23664981,0.10031117,0.31671938,0.17283736,0.049111266,long_term_forecast_720_96ETTm1.csv_DLinear_ETTm1_ftMS_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,720,96,,identity,ETTm1
0,0.240055,0.10472845,0.32361776,0.5587256,12.98654,long_term_forecast_192_96ETTm2.csv_DLinear_ETTm2_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,192,96,,identity,ETTm2
0,0.25683632,0.10986814,0.33146363,0.18257444,0.050200008,long_term_forecast_336_96ETTh1.csv_DLinear_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,336,96,,identity,ETTh1
0,0.28200433,0.13470532,0.36702225,0.63549304,17.077152,long_term_forecast_96_96ETTh2.csv_DLinear_ETTh2_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,96,96,,identity,ETTh2
0,0.28059274,0.13662,0.36962143,0.62842226,14.777419,long_term_forecast_336_96ETTm2.csv_DLinear_ETTm2_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,336,96,,identity,ETTm2
0,0.33282676,0.18832913,0.43396905,0.6940439,17.520477,long_term_forecast_720_96ETTm2.csv_DLinear_ETTm2_ftMS_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,720,96,,identity,ETTm2
0,0.33557543,0.18855745,0.43423203,0.6885008,19.917122,long_term_forecast_192_96ETTh2.csv_DLinear_ETTh2_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,192,96,,identity,ETTh2
0,0.37068492,0.20106515,0.44840288,0.2565325,0.089171216,long_term_forecast_720_96ETTh1.csv_DLinear_ETTh1_ftMS_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,DLinear,720,96,,identity,ETTh1
