model_name,pred_len,dataset,mae,mse,rmse,mape,mspe,exp_name,lookback_len,pwindow,pconstructor,mae_identity,mse_identity,rmse_identity,mape_identity,mspe_identity,exp_name_identity,lookback_len_identity,mse_diff,improvement
iTransformer,96,Weather,0.026184982,0.0012668977,0.035593506,0.6179289,1.8142219,long_term_forecast_ETTh1_96_96Weather_w1251_ipmutual_info.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,ipmutual_info.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.00012742440000000003,9.138806592823856
PatchTST,96,Weather,0.026344968,0.0012774419,0.035741318,0.6298635,1.9623739,long_term_forecast_96_96Weather_w1501_iprollcorr.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1501,iprollcorr.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.00032048420000000007,20.05625917243608
PatchTST,96,Weather,0.026596002,0.0012903835,0.03592191,0.62998235,1.9330353,long_term_forecast_96_96Weather_w1251_iprollcorr.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,iprollcorr.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.00030754260000000005,19.246359390462427
PatchTST,96,Weather,0.026507685,0.0012972704,0.03601764,0.639845,2.016285,long_term_forecast_96_96Weather_w1251_prollcov.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,prollcov.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.00030065569999999995,18.815369496749565
TimeXer,96,Weather,0.026555568,0.0012973044,0.03601811,0.63521534,1.8958879,long_term_forecast_96_96Weather_w501_ipmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,501,ipmutual_info.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,3.712830000000009e-05,2.78232840067544
PatchTST,96,Weather,0.026505351,0.0012988782,0.036039952,0.6411828,2.026978,long_term_forecast_96_96Weather_w1251_pentropy.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,pentropy.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.0002990479000000001,18.714751577059797
iTransformer,96,Weather,0.026614513,0.0013018474,0.036081124,0.6317534,1.8741928,long_term_forecast_ETTh1_96_96Weather_w1001_prollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,prollcorr.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,9.247469999999996e-05,6.632233685459046
iTransformer,96,Weather,0.02654767,0.0013034736,0.03610365,0.628919,1.8106558,long_term_forecast_ETTh1_96_96Weather_w1501_pentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1501,pentropy.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,9.084849999999988e-05,6.515603532354532
iTransformer,96,Weather,0.026669899,0.001305675,0.036134124,0.6240817,1.7145742,long_term_forecast_ETTh1_96_96Weather_w751_pfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,751,pfarm.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,8.864709999999989e-05,6.357720357441074
PatchTST,96,Weather,0.02654903,0.0013083759,0.036171477,0.647523,2.0878546,long_term_forecast_96_96Weather_w751_prollcov.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,751,prollcov.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.00028955020000000003,18.12037490344516
iTransformer,96,Weather,0.026656665,0.0013111434,0.036209714,0.6269885,1.7514635,long_term_forecast_ETTh1_96_96Weather_w1251_pentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,pentropy.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,8.317869999999996e-05,5.965529772496611
iTransformer,96,Weather,0.026639484,0.0013122847,0.03622547,0.6243538,1.7187479,long_term_forecast_ETTh1_96_96Weather_w1001_ipfarm.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,ipfarm.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,8.20374e-05,5.883676375781464
PatchTST,96,Weather,0.026755944,0.0013148302,0.036260586,0.64745975,2.069897,long_term_forecast_96_96Weather_w1501_pfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1501,pfarm.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.0002830959,17.71645760088655
iTransformer,96,Weather,0.026675962,0.0013148849,0.036261342,0.6279191,1.7594011,long_term_forecast_ETTh1_96_96Weather_w751_pentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,751,pentropy.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,7.943719999999998e-05,5.697191488250812
PatchTST,96,Weather,0.02667103,0.0013153251,0.03626741,0.6496212,2.1040545,long_term_forecast_96_96Weather_w501_pfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,501,pfarm.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.00028260099999999995,17.685486206151833
