,mae,mse,rmse,mape,mspe,exp_name,model_name,features_powerset,pred_len,dataset
0,0.21369532,0.07783162,0.27898318,0.16170968,0.043907166,long_term_forecast_96_96powerset_HUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LULL']",96,ETTh1
0,0.22293052,0.08532353,0.29210192,0.16704753,0.046322722,long_term_forecast_96_96powerset_MUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['MUFL', 'LULL']",96,ETTh1
0,0.22341768,0.08721061,0.29531443,0.16288258,0.04345241,long_term_forecast_96_96powerset_empty.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['empty'],96,ETTh1
0,0.22549681,0.08916121,0.29859874,0.16527951,0.04532954,long_term_forecast_96_96powerset_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['LULL'],96,ETTh1
0,0.23536229,0.093912005,0.30645066,0.17593552,0.04983678,long_term_forecast_96_96powerset_HUFL_MUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL', 'LULL']",96,ETTh1
0,0.23904833,0.095019065,0.30825162,0.17812513,0.04953761,long_term_forecast_96_96powerset_HUFL_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'LUFL']",96,ETTh1
0,0.23822427,0.09507956,0.30834973,0.17835613,0.051243715,long_term_forecast_96_96powerset_HUFL_MUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL']",96,ETTh1
0,0.23896748,0.09521348,0.3085668,0.17790027,0.049459588,long_term_forecast_96_96powerset_MUFL_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LUFL']",96,ETTh1
0,0.24212211,0.09787019,0.31284213,0.18112881,0.051976647,long_term_forecast_96_96powerset_HUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['HUFL'],96,ETTh1
0,0.24917895,0.10480638,0.32373813,0.18183613,0.05190072,long_term_forecast_96_96powerset_LUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['LUFL'],96,ETTh1
0,0.252424,0.107156575,0.3273478,0.18285114,0.052012347,long_term_forecast_96_96powerset_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['LUFL', 'LULL']",96,ETTh1
0,0.25415346,0.107298166,0.327564,0.1857154,0.052134793,long_term_forecast_96_96powerset_HUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'LULL']",96,ETTh1
0,0.25466576,0.10776562,0.32827675,0.18938464,0.05597903,long_term_forecast_96_96powerset_MUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['MUFL'],96,ETTh1
0,0.25889927,0.10967589,0.3311735,0.18830563,0.05292623,long_term_forecast_192_96powerset_HUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'LULL']",192,ETTh1
0,0.25826356,0.11101406,0.33318773,0.19019239,0.055826213,long_term_forecast_96_96powerset_MUFL_LUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['MUFL', 'LUFL']",96,ETTh1
0,0.260508,0.11246387,0.33535632,0.19165526,0.05640205,long_term_forecast_96_96powerset_HUFL_LUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LUFL']",96,ETTh1
0,0.2583034,0.11289289,0.33599538,0.18863472,0.05534325,long_term_forecast_96_96powerset_MUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['MUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.26791707,0.11359754,0.33704233,0.19417995,0.055374995,long_term_forecast_96_96powerset_LUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,['LUFL'],96,ETTh1
0,0.2563952,0.11383843,0.3373995,0.18224396,0.051881373,long_term_forecast_192_96powerset_empty.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['empty'],192,ETTh1
0,0.26161146,0.11507864,0.33923244,0.1907109,0.056148298,long_term_forecast_96_96powerset_HUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.26351672,0.116427235,0.34121436,0.19362736,0.058771618,long_term_forecast_96_96powerset_HUFL_MUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL', 'LUFL', 'LULL']",96,ETTh1
0,0.26775613,0.116949596,0.34197894,0.19069064,0.054389343,long_term_forecast_192_96powerset_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['LUFL', 'LULL']",192,ETTh1
0,0.2686523,0.11861398,0.3444038,0.19405632,0.055796523,long_term_forecast_192_96powerset_MUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LULL']",192,ETTh1
0,0.2704083,0.1192854,0.34537718,0.19655257,0.057045143,long_term_forecast_96_96powerset_MUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['MUFL', 'LULL']",96,ETTh1
0,0.2717404,0.121099055,0.3479929,0.19959308,0.061051816,long_term_forecast_192_96powerset_HUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LULL']",192,ETTh1
0,0.2659441,0.1221973,0.3495673,0.18924262,0.056043018,long_term_forecast_192_96powerset_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['LULL'],192,ETTh1
0,0.28330547,0.12766775,0.35730624,0.20226936,0.059797075,long_term_forecast_96_96powerset_LUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['LUFL', 'LULL']",96,ETTh1
