dataset,pred_len,Autoformer,Crossformer,PatchTST,TimeXer,iTransformer
ECL,96,3.244e-01/3.708e-01(12.5%↑),,3.129e-01/3.129e-01(0.0%),2.659e-01/2.688e-01(1.1%↑),2.730e-01/2.788e-01(2.1%↑)
ECL,192,4.565e-01/4.714e-01(3.2%↑),,,3.160e-01/3.137e-01(-0.7%↓),3.123e-01/3.167e-01(1.4%↑)
ECL,336,4.069e-01/4.527e-01(10.1%↑),,,3.628e-01/3.699e-01(1.9%↑),3.608e-01/3.755e-01(3.9%↑)
ECL,720,5.175e-01/4.495e-01(-15.1%↓),,,3.777e-01/3.640e-01(-3.8%↓),4.321e-01/4.582e-01(5.7%↑)
ETTh1,96,8.070e-02/1.164e-01(30.7%↑),1.689e-01/3.711e-01(54.5%↑),5.674e-02/5.677e-02(0.1%↑),5.529e-02/5.664e-02(2.4%↑),5.704e-02/5.869e-02(2.8%↑)
ETTh1,192,8.666e-02/9.302e-02(6.8%↑),1.671e-01/4.115e-01(59.4%↑),7.448e-02/7.444e-02(-0.0%↓),7.801e-02/7.332e-02(-6.4%↓),7.030e-02/7.249e-02(3.0%↑)
ETTh1,336,1.180e-01/1.183e-01(0.2%↑),2.517e-01/2.947e-01(14.6%↑),8.836e-02/8.846e-02(0.1%↑),8.583e-02/8.540e-02(-0.5%↓),7.976e-02/8.409e-02(5.1%↑)
ETTh1,720,1.177e-01/1.293e-01(8.9%↑),2.439e-01/3.316e-01(26.4%↑),9.020e-02/9.020e-02(-0.0%↓),8.717e-02/9.438e-02(7.6%↑),9.638e-02/1.013e-01(4.9%↑)
ETTh2,96,1.474e-01/1.967e-01(25.1%↑),2.223e-01/5.320e-01(58.2%↑),1.358e-01/1.364e-01(0.4%↑),1.315e-01/1.443e-01(8.9%↑),1.320e-01/1.371e-01(3.7%↑)
ETTh2,192,2.160e-01/2.209e-01(2.2%↑),4.755e-01/1.037e+00(54.1%↑),1.924e-01/1.960e-01(1.8%↑),1.812e-01/1.916e-01(5.4%↑),1.830e-01/1.940e-01(5.6%↑)
ETTh2,336,2.711e-01/2.685e-01(-1.0%↓),7.100e-01/1.419e+00(50.0%↑),2.276e-01/2.324e-01(2.1%↑),2.336e-01/2.410e-01(3.1%↑),2.153e-01/2.149e-01(-0.2%↓)
ETTh2,720,2.706e-01/2.686e-01(-0.7%↓),1.819e+00/1.783e+00(-2.0%↓),2.450e-01/2.579e-01(5.0%↑),2.193e-01/2.299e-01(4.6%↑),2.589e-01/2.608e-01(0.8%↑)
ETTm1,96,5.468e-02/5.859e-02(6.7%↑),5.433e-02/7.963e-02(31.8%↑),2.922e-02/2.941e-02(0.6%↑),2.827e-02/2.850e-02(0.8%↑),2.995e-02/3.040e-02(1.5%↑)
ETTm1,192,7.177e-02/7.175e-02(-0.0%↓),2.107e-01/2.958e-01(28.8%↑),4.579e-02/4.400e-02(-4.1%↓),4.625e-02/4.509e-02(-2.6%↓),4.453e-02/4.462e-02(0.2%↑)
ETTm1,336,8.554e-02/8.635e-02(0.9%↑),4.364e-01/5.064e-01(13.8%↑),5.886e-02/5.962e-02(1.3%↑),5.963e-02/5.903e-02(-1.0%↓),6.193e-02/6.228e-02(0.6%↑)
ETTm1,720,1.028e-01/9.943e-02(-3.4%↓),8.312e-01/9.409e-01(11.7%↑),8.559e-02/8.079e-02(-5.9%↓),8.161e-02/8.064e-02(-1.2%↓),8.035e-02/8.048e-02(0.2%↑)
ETTm2,96,1.128e-01/1.227e-01(8.1%↑),9.776e-02/2.223e-01(56.0%↑),6.373e-02/6.442e-02(1.1%↑),6.609e-02/6.782e-02(2.5%↑),6.818e-02/7.582e-02(10.1%↑)
ETTm2,192,1.512e-01/1.562e-01(3.1%↑),1.333e-01/5.706e-01(76.6%↑),1.013e-01/1.026e-01(1.2%↑),1.017e-01/1.037e-01(1.9%↑),1.047e-01/1.202e-01(12.9%↑)
ETTm2,336,1.485e-01/1.523e-01(2.5%↑),3.864e-01/8.408e-01(54.0%↑),1.324e-01/1.330e-01(0.5%↑),1.340e-01/1.357e-01(1.2%↑),1.408e-01/1.572e-01(10.5%↑)
ETTm2,720,1.879e-01/2.082e-01(9.7%↑),1.002e+00/1.474e+00(32.0%↑),1.876e-01/1.887e-01(0.6%↑),1.899e-01/1.887e-01(-0.7%↓),1.836e-01/1.929e-01(4.8%↑)
TrafficL,96,2.349e-01/2.518e-01(6.7%↑),,,1.640e-01/1.684e-01(2.7%↑),1.477e-01/1.564e-01(5.6%↑)
TrafficL,192,,,,,1.550e-01/1.555e-01(0.3%↑)
Weather,96,5.192e-03/7.980e-03(34.9%↑),1.418e-03/6.072e-03(76.6%↑),1.277e-03/1.598e-03(20.1%↑),1.297e-03/1.334e-03(2.8%↑),1.267e-03/1.394e-03(9.1%↑)
Weather,192,1.611e-02/7.433e-03(-116.7%↓),3.973e-03/3.774e-03(-5.3%↓),1.762e-03/1.789e-03(1.5%↑),1.580e-03/1.606e-03(1.6%↑),1.501e-03/1.583e-03(5.2%↑)
Weather,336,1.122e-02/5.570e-03(-101.4%↓),2.147e-03/2.012e-03(-6.7%↓),1.921e-03/1.892e-03(-1.5%↓),1.686e-03/1.714e-03(1.6%↑),1.766e-03/1.713e-03(-3.1%↓)
Weather,720,4.821e-03/4.561e-03(-5.7%↓),4.183e-03/2.851e-03(-46.7%↓),2.288e-03/2.267e-03(-0.9%↓),2.172e-03/2.192e-03(0.9%↑),2.202e-03/2.198e-03(-0.2%↓)
