model_name,pred_len,dataset,mse,pwindow,pconstructor,mse_identity,mse_diff,improvement
iTransformer,192,ETTm2,0.10467019,1501,iprollcorr.csv,0.12018147,0.015511280000000002,12.906548738337117
iTransformer,192,ETTm2,0.10529768,501,ipmutual,0.12018147,0.014883789999999994,12.384429979097439
iTransformer,192,ETTm2,0.10603403,1251,iprollcorr.csv,0.12018147,0.014147439999999997,11.771731532323574
iTransformer,96,ETTm2,0.06817696,751,iprollcov.csv,0.0758165,0.00763954,10.07635541076151
iTransformer,96,Weather,0.0012668977,1251,ipmutual,0.0013943221,0.00012742440000000003,9.138806592823856
TimeXer,96,ETTh2,0.13148762,501,prollcov.csv,0.14430724,0.012819620000000004,8.88355982693592
iTransformer,96,ETTm2,0.06930745,1001,prollcorr.csv,0.0758165,0.0065090499999999885,8.585268378255378
iTransformer,192,ETTm2,0.110248454,501,pfarm.csv,0.12018147,0.009933016000000003,8.265014565057328
TimeXer,96,ETTh2,0.13249215,1001,prollcov.csv,0.14430724,0.01181509,8.18745476664927
iTransformer,96,ETTm2,0.06963253,1001,iprollcov.csv,0.0758165,0.006183969999999997,8.156496277195593
iTransformer,192,ETTm2,0.110434026,1501,iprollcov.csv,0.12018147,0.009747443999999994,8.110604737984978
iTransformer,96,ETTm2,0.06969594,1501,prollcov.csv,0.0758165,0.006120559999999997,8.072860129391355
TimeXer,96,ETTh2,0.13275003,1501,pmutual,0.14430724,0.011557210000000012,8.008752714001051
TimeXer,96,ETTh2,0.13281535,501,prollcorr.csv,0.14430724,0.011491890000000005,7.96348817980304
TimeXer,96,ETTh2,0.13316384,751,ipentropy.csv,0.14430724,0.011143399999999998,7.721996484722456
iTransformer,96,ETTm2,0.07050209,1251,ipfarm.csv,0.0758165,0.005314409999999992,7.009569157109589
iTransformer,192,ETTm2,0.11195598,751,ipmutual,0.12018147,0.008225490000000002,6.844224821014423
iTransformer,96,ETTm2,0.07072228,751,ipfarm.csv,0.0758165,0.0050942199999999965,6.719144249602654
iTransformer,96,ETTm2,0.07077638,501,iprollcorr.csv,0.0758165,0.005040119999999995,6.647787750687509
iTransformer,96,Weather,0.0013018474,1001,prollcorr.csv,0.0013943221,9.247469999999996e-05,6.632233685459046
iTransformer,192,ETTm2,0.11234597,1001,iprollcorr.csv,0.12018147,0.007835499999999995,6.519723880894447
iTransformer,96,Weather,0.0013034736,1501,pentropy.csv,0.0013943221,9.084849999999988e-05,6.515603532354532
iTransformer,96,ETTm2,0.070926026,1501,pfarm.csv,0.0758165,0.004890473999999992,6.450408552228066
iTransformer,192,ETTm2,0.11245576,1001,ipmutual,0.12018147,0.007725709999999997,6.4283703635843334
iTransformer,96,Weather,0.001305675,751,pfarm.csv,0.0013943221,8.864709999999989e-05,6.357720357441074
TimeXer,96,ETTh2,0.13520916,1251,pmutual,0.14430724,0.009098080000000008,6.304659419721428
TimeXer,96,ETTh2,0.13522576,1251,pfarm.csv,0.14430724,0.009081480000000003,6.2931561853722675
